Start	End	Direction	Weight
ACTN1	CACNA1A	0	1
AGRN	CACNA1A	0	1
ALDOA	CACNA1A	0	1
AMIGO2	CACNA1A	0	1
AP2M1	CACNA1A	0	1
ARHGAP22	CACNA1A	0	1
ASNA1	CACNA1A	0	1
BTG3	CACNA1A	0	1
BZRAP1	CACNA1A	0	1
C1QTNF1	CACNA1A	0	1
C9ORF169	CACNA1A	0	1
CABP1	CACNA1A	0	1
APBA1	CACNA1B	0	1
ATN1	CACNB1	0	1
CACNA1A	CACNB4	0	1
ATF7IP	CADM1	0	1
APTX	CALCOCO1	0	1
ABLIM1	CALCOCO2	0	1
AP5B1	CALCOCO2	0	1
APEX2	CALCOCO2	0	1
C16ORF48	CALCOCO2	0	1
C1ORF65	CALCOCO2	0	1
C20ORF195	CALCOCO2	0	1
C9ORF100	CALCOCO2	0	1
C9ORF86	CALCOCO2	0	1
APOB	CALCR	0	1
CALCA	CALCRL	0	1
ADCY8	CALM1	0	1
C4ORF3	CALM1	0	1
CALD1	CALM1	0	1
CACNA1A	CALM2	0	1
CACNA1A	CALM3	0	1
CACNA1C	CALM3	0	1
CACNA1S	CALM3	0	1
APOB	CALR	0	1
APP	CALR	0	1
CALM1	CAMK1	0	1
ADCY3	CAMK2G	0	1
CABP2	CAMK2G	0	1
CAMK1	CAMKK1	0	1
CAMK4	CAMKK1	0	1
CALM1	CAMKK2	0	1
CAMK1	CAMKK2	0	1
CAMK4	CAMKK2	0	1
APOB	CANX	0	1
ACTG1	CAP1	0	1
ARR3	CAPNS1	0	1
ATP5J2	CAPNS1	0	1
CAPN1	CAPNS1	0	1
CAPN2	CAPNS1	0	1
CAPN2	CAPNS2	0	1
BCCIP	CAPZB	0	1
ATXN7	CARD10	0	1
BCL10	CARD10	0	1
BCL10	CARD11	0	1
APBA1	CASK	0	1
BID	CASP1	0	1
CARD16	CASP1	0	1
CARD8	CASP1	0	1
BID	CASP10	0	1
ADCYAP1	CASP2	0	1
BID	CASP2	0	1
AKT1	CASP3	0	1
APAF1	CASP3	0	1
APP	CASP3	0	1
AR	CASP3	0	1
ARHGDIB	CASP3	0	1
BCL2	CASP3	0	1
BID	CASP3	0	1
BIRC2	CASP3	0	1
BIRC3	CASP3	0	1
BIRC5	CASP3	0	1
BIRC7	CASP3	0	1
CASP10	CASP3	0	1
CASP3	CASP4	0	1
APP	CASP6	0	1
CASP3	CASP6	0	1
BIRC2	CASP7	0	1
BIRC3	CASP7	0	1
BIRC5	CASP7	0	1
APP	CASP8	0	1
BCAP31	CASP8	0	1
