Start	End	Direction	Weight
CDC42	CDC42SE1	1	1
AKAP6	CDC5L	1	1
AKAP9	CDC5L	1	1
CCDC136	CDC5L	1	1
CCNA2	CDC6	1	1
ANXA6	CDC73	1	1
AURKB	CDCA8	1	1
BIRC5	CDCA8	1	1
ATF7IP	CDH11	1	1
CDH18	CDH6	1	1
AR	CDK1	1	1
BIRC5	CDK1	1	1
CCNA1	CDK1	1	1
CCNA2	CDK1	1	1
CCNB1	CDK1	1	1
CCNB2	CDK1	1	1
CDC25B	CDK1	1	1
CDC25C	CDK1	1	1
CCNL2	CDK11B	1	1
ACVR1	CDK14	1	1
BMPR1B	CDK14	1	1
BAG6	CDK16	1	1
CCDC85B	CDK18	1	1
CCNK	CDK18	1	1
BRCA1	CDK2	1	1
BRCA2	CDK2	1	1
CCNA1	CDK2	1	1
CCNA2	CDK2	1	1
CCNB1	CDK2	1	1
CCNB2	CDK2	1	1
CCND1	CDK2	1	1
CCNE1	CDK2	1	1
CCNE2	CDK2	1	1
CCNH	CDK2	1	1
CCNK	CDK2	1	1
CDC25A	CDK2	1	1
CDC25B	CDK2	1	1
CDC6	CDK2	1	1
A2M	CDK2AP2	1	1
CABLES1	CDK3	1	1
ANXA7	CDK4	1	1
APLP1	CDK4	1	1
ATP5B	CDK4	1	1
BAG6	CDK4	1	1
BMPR1B	CDK4	1	1
BRCA1	CDK4	1	1
CAPNS1	CDK4	1	1
CCND1	CDK4	1	1
CCND2	CDK4	1	1
CCND3	CDK4	1	1
CDC37	CDK4	1	1
CDC45	CDK4	1	1
CDC7	CDK4	1	1
ALAS1	CDK5	1	1
APP	CDK5	1	1
BAG6	CDK5	1	1
CABLES1	CDK5	1	1
CDC37	CDK5	1	1
CDK5	CDK5R1	1	1
CDK5R1	CDK5RAP1	1	1
ABCA2	CDK5RAP2	1	1
C14ORF1	CDK5RAP2	1	1
CDK5R1	CDK5RAP2	1	1
CDK5R1	CDK5RAP3	1	1
ATXN1	CDK6	1	1
CCND1	CDK6	1	1
CCND3	CDK6	1	1
CCNH	CDK7	1	1
