Start	End	Direction	Weight
ACTA1	LAMA1	1	1
ACTA1	LAMA2	1	1
ACTA1	LAMA3	1	1
ACTA1	LAMA4	1	1
ACTA1	LAMA5	1	1
ACTA1	LAMB1	1	1
ACTA1	LAMB2	1	1
ACTA1	LAMB3	1	1
ACTA1	LAMC1	1	1
ACTA1	LAMC2	1	1
ACTA1	LAMC3	1	1
ACTA1	MAL	1	1
ACTA1	MAPK3	1	1
ACTA1	MLLT4	1	1
ACTA1	MMP1	1	1
ACTA1	MMP12	1	1
ACTA1	MMP13	1	1
ACTA1	MMP14	1	1
ACTA1	MMP15	1	1
ACTA1	MMP16	1	1
ACTA1	MMP19	1	1
ACTA1	MMP2	1	1
ACTA1	MMP20	1	1
ACTA1	MMP21	1	1
ACTA1	MMP23A	1	1
ACTA1	MMP24	1	1
ACTA1	MMP25	1	1
ACTA1	MMP27	1	1
ACTA1	MMP28	1	1
ACTA1	MMP7	1	1
ACTA1	MMP8	1	1
ACTA1	MMP9	1	1
ACTA1	MYH1	1	1
ACTA1	MYH10	1	1
ACTA1	MYH11	1	1
ACTA1	MYH13	1	1
ACTA1	MYH14	1	1
ACTA1	MYH16	1	1
ACTA1	MYH2	1	1
ACTA1	MYH3	1	1
ACTA1	MYH4	1	1
ACTA1	MYH6	1	1
ACTA1	MYH7	1	1
ACTA1	MYH7B	1	1
ACTA1	MYH8	1	1
ACTA1	MYH9	1	1
ACTA1	MYO15A	1	1
ACTA1	MYO16	1	1
ACTA1	MYO18A	1	1
ACTA1	MYO18B	1	1
ACTA1	MYO19	1	1
ACTA1	MYO1A	1	1
ACTA1	MYO1B	1	1
ACTA1	MYO1C	1	1
ACTA1	MYO1D	1	1
ACTA1	MYO1E	1	1
ACTA1	MYO1F	1	1
ACTA1	MYO5A	1	1
ACTA1	MYO5B	1	1
ACTA1	MYO5C	1	1
ACTA1	MYO6	1	1
ACTA1	MYO7A	1	1
ACTA1	MYO7B	1	1
ACTA1	MYO9A	1	1
ACTA1	MYO9B	1	1
ACTA1	NOLC1	1	1
ACTA1	PAK1	1	1
ACTA1	PAK2	1	1
